,sort,sc,sc_symbol2,rok,week_number,qty
0,1,Dealers sales channel,DL,2023,32,2620894
1,2,Dealers sales channel - leads,DL-LEAD,2023,32,4380
2,3,Direct sales and big merchants,Direct sales,2023,32,296546
3,4,Direct Sales - Key clients,DSK,2023,32,25041
4,5,MILLENNIUM,MM,2023,32,79541
5,6,Cooperative Banks,BANKI,2023,32,4583
6,7,Sales representatives,SR,2023,32,65323
7,8,Regional Sales Managers,RMS,2023,32,181816
8,9,DSA,DSA,2023,32,15197
9,10,Corporate Partners,CP,2023,32,73
10,11,GL migration,GL,2023,32,78482
11,12,Remote sales Millennium,Remote sales Millennium,2023,32,2984
12,13,Remote sales NestBank,Remote sales NestBank,2023,32,412
13,14,Remote sales other,Remote sales other,2023,32,36408
14,15,ICP,ICP,2023,32,19060
15,16,Multipay,Multipay,2023,32,6142
16,17,Operations,OP,2023,32,89420
17,18,No channel info,No channel info,2023,32,5204
