,sort,sc,sales_channel2,week_number,rok,avg_turnover
0,1,Dealers sales channel,Dealers sales channel,36.0,2023.0,2591.1088
1,2,Dealers sales channel - leads,Dealers sales channel - leads,36.0,2023.0,3233.9978
2,3,Direct sales and big merchants,Direct sales and big merchants,36.0,2023.0,3847.7676
3,4,Direct Sales - Key clients,Direct Sales - Key clients,36.0,2023.0,12952.2166
4,5,MILLENNIUM,MILLENNIUM,36.0,2023.0,2245.8339
5,6,Cooperative Banks,Cooperative Banks,36.0,2023.0,3524.6753
6,7,Sales representatives,Sales representatives,36.0,2023.0,4761.1885
7,8,Regional Sales Managers,Regional Sales Managers,36.0,2023.0,13795.3272
8,9,DSA,,,,
9,10,Corporate Partners,Corporate Partners,36.0,2023.0,13.6223
10,11,GL migration,GL migration,36.0,2023.0,3195.2906
11,12,Remote sales Millennium,Remote sales Millennium,36.0,2023.0,461.5777
12,13,Remote sales NestBank,Remote sales NestBank,36.0,2023.0,440.8510
13,14,Remote sales other,Remote sales other,36.0,2023.0,2511.8212
14,15,ICP,ICP,36.0,2023.0,5095.2804
15,16,Multipay,Multipay,36.0,2023.0,15838.4077
16,17,Operations,Operations,36.0,2023.0,3807.0438
17,18,No channel info,No channel info,36.0,2023.0,102.1891
