,sort,sc,sc_symbol2,rok,week_number,value
0,1,Dealers sales channel,DL,2023.0,38.0,146011902.8200
1,2,Dealers sales channel - leads,DL-LEAD,2023.0,38.0,514821.5400
2,3,Direct sales and big merchants,Direct sales,2023.0,38.0,14570462.5900
3,4,Direct Sales - Key clients,DSK,2023.0,38.0,1799345.9500
4,5,MILLENNIUM,MM,2023.0,38.0,5723269.2100
5,6,Cooperative Banks,BANKI,2023.0,38.0,262766.2400
6,7,Sales representatives,SR,2023.0,38.0,3463686.9900
7,8,Regional Sales Managers,RMS,2023.0,38.0,19683842.1400
8,9,DSA,,,,
9,10,Corporate Partners,CP,2023.0,38.0,10957.9700
10,11,GL migration,GL,2023.0,38.0,3807966.5300
11,12,Remote sales Millennium,Remote sales Millennium,2023.0,38.0,189261.6300
12,13,Remote sales NestBank,Remote sales NestBank,2023.0,38.0,74931.7500
13,14,Remote sales other,Remote sales other,2023.0,38.0,1810622.4300
14,15,ICP,ICP,2023.0,38.0,751712.8300
15,16,Multipay,Multipay,2023.0,38.0,975109.5800
16,17,Operations,OP,2023.0,38.0,4183545.6700
17,18,No channel info,No channel info,2023.0,38.0,337914.4300
