,sort,sc,sales_channel2,rok,week_number,value
0,1,Dealers sales channel,Dealers sales channel,2023.0,40.0,110310.8200
1,2,Dealers sales channel - leads,,,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,2023.0,40.0,18203.7000
3,4,Direct Sales - Key clients,Direct Sales - Key clients,2023.0,40.0,108642.0000
4,5,MILLENNIUM,,,,0.0000
5,6,Cooperative Banks,,,,0.0000
6,7,Sales representatives,Sales representatives,2023.0,40.0,2365.0000
7,8,Regional Sales Managers,Regional Sales Managers,2023.0,40.0,13394.0600
8,9,DSA,,,,0.0000
9,10,Corporate Partners,Corporate Partners,2023.0,40.0,27104.8600
10,11,GL migration,GL migration,2023.0,40.0,251.4000
11,12,Remote sales Millennium,Remote sales Millennium,2023.0,40.0,175928.6400
12,13,Remote sales NestBank,Remote sales NestBank,2023.0,40.0,36074.4500
13,14,Remote sales other,Remote sales other,2023.0,40.0,23123.6100
14,15,ICP,,,,0.0000
15,16,Multipay,,,,0.0000
16,17,Operations,Operations,2023.0,40.0,25527.6900
17,18,No channel info,No channel info,2023.0,40.0,0.0000
