,sort,sc,sales_channel2,rok,week_number,qty
0,1,Dealers sales channel,Dealers sales channel,2024.0,5.0,1267
1,2,Dealers sales channel - leads,,,,0
2,3,Direct sales and big merchants,Direct sales and big merchants,2024.0,5.0,468
3,4,Direct Sales - Key clients,Direct Sales - Key clients,2024.0,5.0,897
4,5,MILLENNIUM,,,,0
5,6,Cooperative Banks,,,,0
6,7,Sales representatives,Sales representatives,2024.0,5.0,9
7,8,Regional Sales Managers,Regional Sales Managers,2024.0,5.0,84
8,9,DSA,,,,0
9,10,Corporate Partners,Corporate Partners,2024.0,5.0,65
10,11,GL migration,GL migration,2024.0,5.0,6
11,12,Remote sales Millennium,Remote sales Millennium,2024.0,5.0,2372
12,13,Remote sales NestBank,Remote sales NestBank,2024.0,5.0,182
13,14,Remote sales other,Remote sales other,2024.0,5.0,282
14,15,ICP,,,,0
15,16,Multipay,,,,0
16,17,Operations,Operations,2024.0,5.0,268
17,18,No channel info,No channel info,2024.0,5.0,0
